Time,Z-axis,Y-axis,X-axis,Battery,∞Celsius,EDA(uS),Event
00:08.2,0.03,-0.72,-0.62,-1,39.5,0,0
00:08.3,0.04,-0.72,-0.62,-1,39.5,0,0
00:08.3,0.03,-0.82,-0.61,-1,39.5,0,0
00:08.3,0.06,-0.8,-0.61,-1,39.5,0,0
00:08.3,0.07,-0.76,-0.61,-1,39.5,0,0
00:08.4,0.02,-0.81,-0.55,-1,39.5,0,0
00:08.4,0,-0.8,-0.53,-1,39.5,0,0
00:08.4,-0.01,-0.72,-0.5,-1,39.5,0,0
00:08.5,-0.02,-0.79,-0.47,-1,39.5,0,0
00:08.5,-0.03,-0.83,-0.47,-1,39.5,0,0
00:08.5,0,-0.75,-0.49,-1,39.5,0,0
00:08.6,-0.01,-0.86,-0.44,-1,39.5,0,0
00:08.6,0.02,-0.77,-0.53,-1,39.5,0,0
00:08.6,-0.13,-0.74,-0.17,-1,39.3,0,0
00:08.7,0.19,-1.53,-0.41,-1,39.3,0,0
00:08.7,-0.13,-0.81,-0.35,-1,39.5,0,0
00:08.7,-0.1,-1.03,0.44,-1,39.5,0,0
00:08.8,-0.17,-0.74,-0.46,-1,39.3,0.002,0
00:08.8,-0.13,-0.72,-0.55,-1,39.3,0,0
00:08.8,-0.08,-0.71,-0.45,-1,39.3,0.002,0
00:08.8,-0.07,-0.71,-0.49,-1,39.3,0.002,0
00:08.9,-0.19,-0.64,-0.59,-1,39.3,0,0
00:08.9,-0.2,-0.61,-0.48,-1,39.3,0,0
00:08.9,-0.21,-0.63,-0.47,-1,39.3,0,0
00:09.0,-0.22,-0.59,-0.52,-1,39.3,0,0
00:09.0,-0.25,-0.6,-0.57,-1,39.3,0,0
00:09.0,-0.28,-0.55,-0.57,-1,39.5,0,0
00:09.1,-0.33,-0.57,-0.65,-1,39.3,0,0
00:09.1,-0.21,-0.53,-0.75,-1,39.3,0,0
00:09.1,-0.05,-0.53,-0.81,-1,39.5,0,0
00:09.2,-0.18,-0.39,-0.72,-1,39.3,0,0
00:09.2,-0.09,-0.26,-0.73,-1,39.3,0,0
00:09.2,-0.04,-0.14,-1.04,-1,39.3,0,0
00:09.3,0.05,-0.25,-1.05,-1,39.5,0,0
