Time,Z-axis,Y-axis,X-axis,Battery,∞Celsius,EDA(uS),Event
08:22.2,0.13,0.38,-0.7,-1,40.2,0.323,0
08:22.2,0.12,0.38,-0.7,-1,40.2,0.326,0
08:22.2,0.12,0.38,-0.7,-1,40,0.326,0
08:22.2,0.12,0.38,-0.7,-1,40.2,0.323,0
08:22.3,0.13,0.38,-0.7,-1,40.2,0.323,0
08:22.3,0.12,0.38,-0.7,-1,40,0.323,0
08:22.3,0.12,0.38,-0.7,-1,40.2,0.323,0
08:22.4,0.13,0.38,-0.69,-1,40.2,0.326,0
08:22.4,0.12,0.39,-0.7,-1,40,0.323,0
08:22.4,0.12,0.39,-0.7,-1,40,0.323,0
08:22.5,0.12,0.39,-0.7,-1,40.2,0.323,0
08:22.5,0.12,0.38,-0.7,-1,40,0.323,0
08:22.5,0.12,0.39,-0.69,-1,40.2,0.323,0
08:22.6,0.12,0.39,-0.7,-1,40.2,0.323,0
08:22.6,0.13,0.38,-0.7,-1,40.2,0.323,0
08:22.6,0.12,0.38,-0.69,-1,40.2,0.323,0
08:22.7,0.12,0.39,-0.69,-1,40.2,0.32,0
08:22.7,0.12,0.39,-0.7,-1,40,0.323,0
08:22.7,0.13,0.38,-0.7,-1,40,0.32,0
08:22.8,0.12,0.39,-0.69,-1,40.2,0.32,0
08:22.8,0.12,0.4,-0.69,-1,40.2,0.32,0
08:22.8,0.12,0.41,-0.68,-1,40.2,0.32,0
08:22.8,0.12,0.41,-0.68,-1,40.2,0.32,0
08:22.9,0.12,0.39,-0.71,-1,40,0.32,0
08:22.9,0.11,0.37,-0.7,-1,40.2,0.32,0
08:22.9,0.11,0.39,-0.69,-1,40.2,0.323,0
08:23.0,0.12,0.41,-0.7,-1,40,0.32,0
08:23.0,0.12,0.4,-0.69,-1,40,0.32,0
08:23.0,0.12,0.39,-0.69,-1,40,0.32,0
08:23.1,0.12,0.4,-0.7,-1,40,0.32,0
08:23.1,0.12,0.4,-0.69,-1,40.2,0.321,0
08:23.1,0.12,0.4,-0.69,-1,40,0.32,0
08:23.2,0.12,0.41,-0.69,-1,40,0.32,0
08:23.2,0.12,0.4,-0.68,-1,40.2,0.32,0
