Time,Z-axis,Y-axis,X-axis,Battery,∞Celsius,EDA(uS),Event
19:04.5,-0.1,0,-0.72,-1,36.8,0.004,1
19:04.6,-0.05,0.12,-0.74,-1,36.8,0.004,1
19:04.6,-0.04,0.16,-0.86,-1,36.8,0.004,1
19:04.6,-0.04,0.18,-0.94,-1,36.8,0.004,1
19:04.7,0,0.11,-0.98,-1,36.8,0.004,1
19:04.7,-0.01,0.05,-1,-1,36.8,0.004,1
19:04.7,0.01,-0.05,-0.92,-1,36.8,0.004,1
19:04.7,-0.03,-0.03,-0.9,-1,36.8,0.004,1
19:04.8,-0.1,-0.09,-0.81,-1,36.8,0.004,1
19:04.8,-0.16,-0.01,-0.78,-1,36.8,0.004,1
19:04.8,-0.16,-0.01,-0.69,-1,36.8,0.004,1
19:04.9,-0.11,0,-0.84,-1,36.8,0.004,1
19:04.9,-0.18,0.01,-0.92,-1,36.8,0.004,1
19:04.9,-0.21,-0.1,-0.84,-1,36.8,0.004,1
19:05.0,-0.16,0.03,-0.84,-1,36.8,0.004,1
19:05.0,-0.18,-0.01,-0.84,-1,36.8,0.008,1
19:05.0,-0.16,-0.04,-0.87,-1,36.8,0.006,1
19:05.1,-0.15,-0.06,-0.84,-1,36.8,0.004,1
19:05.1,-0.19,-0.08,-0.89,-1,36.8,0.004,1
19:05.1,-0.14,-0.09,-0.94,-1,36.8,0.008,1
19:05.2,-0.19,-0.17,-0.79,-1,36.8,0.008,1
19:05.2,-0.29,-0.01,-0.79,-1,36.8,0.008,1
19:05.2,-0.23,-0.09,-0.8,-1,36.8,0.008,1
19:05.3,-0.24,-0.15,-0.79,-1,36.8,0.01,1
19:05.3,-0.23,-0.14,-0.68,-1,36.6,0.01,1
19:05.3,-0.28,-0.17,-0.76,-1,36.8,0.012,1
19:05.3,-0.26,-0.14,-0.87,-1,36.8,0.012,1
19:05.4,-0.24,-0.14,-0.81,-1,36.8,0.012,1
19:05.4,-0.24,-0.53,-0.65,-1,36.6,0.012,1
19:05.4,-0.15,0,-0.85,-1,36.8,0.012,1
19:05.5,-0.22,0.05,-0.84,-1,36.8,0.012,1
19:05.5,-0.24,0.2,-0.77,-1,36.8,0.012,1
19:05.5,-0.23,0.16,-0.68,-1,36.6,0.012,1
19:05.6,-0.26,0.09,-0.69,-1,36.8,0.012,1
19:05.6,-0.26,0.15,-0.74,-1,36.8,0.012,1
19:05.6,-0.26,0.19,-0.75,-1,36.8,0.012,1
19:05.7,-0.24,0.06,-0.78,-1,36.8,0.012,1
19:05.7,-0.32,0,-0.87,-1,36.8,0.012,1
